000001,1,P001,25.0,10
000001,2,P001,25.0,10
000001,3,P002,35.0,10
000001,4,P002,35.0,10
000001,5,P003,45.0,10
000001,6,P003,45.0,10
000002,1,P002,35.0,10
000003,1,P005,65.0,10
000003,2,P005,65.0,10
000003,3,P006,73.0,10
000003,4,P006,73.0,10
000004,1,P001,25.0,10
000004,2,P001,25.0,10
000005,1,P001,25.0,10
000005,2,P001,25.0,10
000005,3,P002,35.0,10
000005,4,P002,35.0,10
000006,1,P001,25.0,10
000006,2,P001,25.0,10
000006,3,P002,35.0,10
000006,4,P002,35.0,10
000007,1,P001,25.0,10
000008,1,P001,25.0,10
000008,2,P001,25.0,10
000009,1,P001,25.0,10
000009,2,P001,25.0,10
0000010,1,A,10.0,5
0000011,1,P001,25.0,10
0000012,1,P001,25.0,10
0000013,1,P002,35.0,10
0000013,2,P002,35.0,10
0000014,1,P001,25.0,10
0000014,2,P001,25.0,10
0000015,1,P001,25.0,10
0000015,2,P001,25.0,10
0000016,1,P001,25.0,10
0000017,1,P001,25.0,10
0000018,1,P001,25.0,10
0000018,2,P001,25.0,10
0000019,1,P001,25.0,10
0000020,1,P001,25.0,10
